epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,191.074,0.76811,1.14079,0.87647,0.98194,0.46334,0.22986,0.21785,0.17158,0.46334,0.22986,0.21785,0.15337,1.39062,3.6319,2.86233,1.25363,0.0007129,0.0007129,0.0007129
31,196.825,0.74953,1.13,0.82393,0.96929,0.57768,0.22879,0.23417,0.18645,0.58785,0.23434,0.23886,0.17848,1.28067,3.89191,2.65168,1.16981,0.000703,0.000703,0.000703
32,202.636,0.71065,0.97231,0.73818,0.95039,0.58685,0.22944,0.21761,0.1615,0.58685,0.22944,0.21761,0.16802,1.3701,4.19678,2.61718,1.19998,0.0006931,0.0006931,0.0006931
33,208.358,0.74694,1.05037,0.80746,0.98176,0.33643,0.22879,0.19861,0.13714,0.33643,0.22879,0.19772,0.15239,1.3733,4.04388,2.61698,1.2236,0.0006832,0.0006832,0.0006832
34,214.042,0.75021,1.06196,0.79213,1.00548,0.49734,0.17879,0.20598,0.15589,0.49734,0.17879,0.20734,0.15844,1.42451,3.93951,2.9525,1.23273,0.0006733,0.0006733,0.0006733
35,219.919,0.74619,1.08668,0.79148,0.98635,0.50736,0.22323,0.22059,0.16168,0.50736,0.22323,0.22059,0.16351,1.44166,3.81042,2.48299,1.26065,0.0006634,0.0006634,0.0006634
36,225.605,0.72127,1.00298,0.72802,0.96305,0.53579,0.21212,0.21648,0.16207,0.53579,0.21212,0.21648,0.16817,1.44818,3.48358,2.76207,1.24464,0.0006535,0.0006535,0.0006535
37,231.395,0.70556,0.95299,0.68589,0.9595,0.59362,0.22879,0.24253,0.18903,0.59362,0.22879,0.24253,0.18717,1.34626,3.31879,2.58057,1.17385,0.0006436,0.0006436,0.0006436
38,237.287,0.70066,1.02996,0.75138,0.98366,0.81122,0.20101,0.24012,0.18897,0.81122,0.20101,0.24231,0.17444,1.4227,3.52661,2.66332,1.21159,0.0006337,0.0006337,0.0006337
39,243.258,0.67794,0.99873,0.71243,0.94424,0.52491,0.21212,0.23928,0.16541,0.52491,0.21212,0.24459,0.16769,1.43718,3.81226,2.62321,1.24256,0.0006238,0.0006238,0.0006238
40,248.814,0.69007,0.98804,0.74594,0.96765,0.57899,0.21212,0.23109,0.15701,0.57899,0.21212,0.23451,0.17036,1.42985,3.80493,2.65242,1.23309,0.0006139,0.0006139,0.0006139
41,254.675,0.68155,0.99748,0.70588,0.94302,0.80733,0.21188,0.22373,0.17195,0.80733,0.21188,0.22574,0.16055,1.32571,3.93127,2.62878,1.22182,0.000604,0.000604,0.000604
42,261.584,0.71471,1.0007,0.68165,0.96284,0.41765,0.22879,0.20474,0.14748,0.42598,0.23434,0.2055,0.14904,1.38095,3.40668,2.64561,1.25897,0.0005941,0.0005941,0.0005941
